,review_id,title,user_review,Happy,Angry,Surprise,Sad,Fear
0,1,Spooky's Jump Scare Mansion,im scared hearing creepy voices ill pause moment write review wait heart beat return atleast somewhat calmer times game adorable creepy like happy tree friends graphics sceme childhood bubble clean hello swhat charactes isnot trying kill likable bit odd noob things though asoh look class room full ghosts dead children lets shine flashlight stand staring themor hmm creepy music ill turn around see see whats chasing menever game afraid finding locked door,0.17,0.0,0.3,0.17,0.35
1,2,Spooky's Jump Scare Mansion,best game better sam peppers youtube account youll need playa computersome extra pantsprosscary hellfunadventurespookydid forgot mention scary hellyoull get pantsbriefs wardrobetime consuming youre boredconsbuying pantsbriefs havent downloaded yet,0.0,0.2,0.4,0.0,0.4
2,3,Spooky's Jump Scare Mansion,littly iffy controls know play easy master ive made floor due certain circumstances unable finish game related dont worry bugglitch antyhingi highly recommend casual play maybe friend two watching hilarity ensues especially hit floor fun fellow fleshlings,0.23,0.08,0.23,0.23,0.23
3,4,Spooky's Jump Scare Mansion,great game fun colorful thata side note though getting windowed mode computer hates fullscreen yeah computer doesnt like run shame really enjoyable guess ill settle skyrim cheers,0.44,0.0,0.22,0.22,0.11
4,5,Spooky's Jump Scare Mansion,many games cute tag right next horror tag steami first played game late coming back first time since game good free take advantage experience try get room close progress darker game becomes,0.38,0.0,0.31,0.08,0.23
5,6,Spooky's Jump Scare Mansion,early access reviewits pretty cute first later gets horrifying really jumpscare specimen scared still enjoyable worth playing though great wellmade game,0.4,0.0,0.2,0.2,0.2
6,7,Spooky's Jump Scare Mansion,great game cute little horror game progressively gets darker scarier sense humor ive played little watched several people play love,0.43,0.0,0.29,0.0,0.29
7,8,Spooky's Jump Scare Mansion,spookys jump scare mansion free retro maze game jump scares death worked win looked ok played ok sounded ok took wrong turn somehow keep getting killed ghostly creature around room guess need restart take different route retro look sort like castle wolfenstein doom creepy music sounds rooms go try game might like itfor infohttpswwwyoutubecomwatchvmksyrvddohttpswwwyoutubecomwatchvgolmiprwqhttpswwwyoutubecomwatchvvzejvparhkihttpwwwpolygoncomspookyshouseofjumpscaresgameplayoverviewvideohttpswwwrockpapershotguncomspookyshouseofjumpscaresfreegamemorehttpwwwindiedbcomgamesspookyshouseofjumpscaresreviewshttpwwwbagogamescomspookiermeetseyespookyshousejumpscaresreview,0.06,0.06,0.38,0.12,0.38
8,9,Spooky's Jump Scare Mansion,somewhere light hearted happy parody afraid dark lies spookys house jump scares tasked daunting duty surviving one thousand rooms endless first person perspective runner room seconds thanks sprint key fact door counts new room even one thousand rooms still feat tedium needless repetition still things every fifteen rooms keep interest end fifty rooms youll find save point nothing save permanent death hands foul creatures live withinon surface game clean chipper almost cartoon low budget charm jump scares rare first comes form adorable cardboard cutouts pumpkins ghosts skeletons pop wall accompanied sound sounds silly unfitting times screeches drive chills spine game excels sound department makes good use music ambient sounds foot steps following youas delve deeper doors dank dungeon youll uncover frightening things points intreege plenty written notes times youll need search key different room ninetynine percent game leaving rooms behind foreverthe themes rooms begin change mundane almost wolfenstien desque corridors metal asylum rooms give flashlight find way purple dungeons green sewers glowing scum rooms coated slime slow others holes ceiling give feeling dread something could pop outthere limited amount rooms started memorize even games crescendo encounters vacant room walkways theres way fall dark chasms acts walls open room get see specific creature might following sometimes float gaps times theyre stuck trying walk across gap get good look theyre harmlessif touch three times youre dead health replenish time big moments rare easy avoid keep running hope locked doors happen specific rooms sometimes rooms empty still gives dreadful feelingyou tear rooms pretty quick minute stamina deplete give monster chance catch going door restores run waiting seconds replenish stamina longer rooms limited visibility area darker getsa rooms good diversions tricks one turns bright need enter correct combination corridors signaled chimes see door another room endless darkness torch end revealed torch merely painted black wall times youll need search adjacent room key one youre inevery fifty rooms take moment unwind elevator reminds hang coffee break game makes good balance calm moments tense situations keeps kilter never expecting anything every two hundred fifty rooms offers prize whats box snakes jackinthebox notetruth told im goal oriented video games spooky missed mark cardboard cutouts get way chased something means threat since already behind perhaps later rooms gets difficult easy tedium another room another room another room knowing seven hundred rooms another two hour investment endless running turns game grind theres fear long endure even save points game reuses points interest times since recycles roomsanother issue game getting stuck edges need push away wall get free turn corner walls gaps suppose acceptable scary game get chased im hung hang upsone interesting thing game stabbing mini game looks like youre ghost mall good diversion repetition theres even computer shows creatures house well leastthe best selling point game free means make good game makes easier accept game brings charm tear scares beyond cheap cardboard cutouts litter hallway every often far repetitive without much dread excitement,0.14,0.07,0.17,0.19,0.43
9,10,Spooky's Jump Scare Mansion,game cute little wall popups scared living light like much havent played lately good game like funny jump scare game fun story pretty sad good luck fun rooms,0.5,0.07,0.14,0.14,0.14
10,11,Spooky's Jump Scare Mansion,early access reviewi thought game would fun cute never wrongtheres room computer catdos operating system making experience chilling originally wasplay game romantic idea,0.33,0.0,0.11,0.22,0.33
11,12,Spooky's Jump Scare Mansion,early access reviewgreen ghosty goo thing chases scary turn around hes suddenly behind mei diei get scared tree stump pumpkins walli dieand ing puppet guy majoras mask comes along stabs fricking needle eyei diethis romantic,0.11,0.11,0.33,0.33,0.11
12,13,Spooky's Jump Scare Mansion,early access reviewrooms cute adorable dont let guard start getting chased crap panties taken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken deadtaken dead,0.33,0.0,0.5,0.17,0.0
13,14,Spooky's Jump Scare Mansion,early access reviewgreat game always running paniced confused makes horror experience complete jumpscares confusing compelling story mystery cant pull away game,0.0,0.12,0.12,0.38,0.38
14,15,Spooky's Jump Scare Mansion,name says dont get fooled seemingly normal title game youll know play itany person plays gameincluding right say free horror entertainment spookyme,0.12,0.0,0.38,0.0,0.5
15,16,Spooky's Jump Scare Mansion,never would thought something adorably cute would make dirty clothing short timegreat simple game fear builds awaiting next screamer corner plus free cant go wrong,0.23,0.15,0.15,0.15,0.31
16,17,Spooky's Jump Scare Mansion,first get hugged cardboard cut outs get chased freaky hell ghouls finnaly escape always toes watch beware yes,0.0,0.17,0.33,0.33,0.17
17,18,Spooky's Jump Scare Mansion,exactly think progress rooms horror cute style lots references popular creepypastas games definitely worth checking free else need positive experience,0.22,0.0,0.22,0.11,0.44
18,19,Spooky's Jump Scare Mansion,game awesome may seem cute scary trust scary af first rooms cute room get scary really great horror game also free really think give game shot like spooked wish get really scared suggest play game first specimen cute rest really scary also try kill hunt like said awesome horror game want cute game looking,0.19,0.0,0.44,0.06,0.31
19,20,Spooky's Jump Scare Mansion,played game hour given pretty good scares tt silly jumps starting game progresses harder avoid paranoia tension xdits fun indeed,0.33,0.0,0.11,0.11,0.44
20,21,Spooky's Jump Scare Mansion,game may seem cute adorble innocent first cute scary pops outs every glad see spooky scary skeleton things got little dark notes laying around demon like ghost following ever go certian point memtion deadends tons spooks youre horror running away types might like dispite looking like made kids wasnt id say maybebut enjoy alone dark scary horror like title says spookys house jump scares oh boy im pretty spooked im joking game actually gave goosebumps,0.2,0.09,0.29,0.23,0.2
21,22,Spooky's Jump Scare Mansion,puppets man freak cant get away evil puppets might suck great freebie though dont let childish appearance graphics fool indeed horror game bad one say play,0.11,0.22,0.22,0.33,0.11
22,23,Spooky's Jump Scare Mansion,early access reviewthis game bit simple like ive currently reached room farthest game currently developed still builtits survival horror game involves roaming house many rooms think merges cute scary well cute aspects place scary aspects fit supprisingly well amazing right criteria cute pop scares acctualy effective jump scarei also quite enjoyed easter eggs nods alien alice wonderland five nights freddys knows easter eggs added game progresses give game stars,0.21,0.0,0.17,0.08,0.54
23,24,Spooky's Jump Scare Mansion,one best horror games imo free cute ing horrible beggining cute jump scare cute jump scare open doors start thinking well isnt bad guess first real horror encounter began feel chased everywhere go cute jump scares cute anymore know something begin questioning wether continue know must highly recommend free waiting pleaseant experience trust,0.29,0.0,0.42,0.12,0.17
24,25,Spooky's Jump Scare Mansion,cute horror really mesh well many instances gaming one delightful exceptions even thats cuteness first outshone genuinly horrible things hunting jumpscares title comes cheerful little carnival haunted housestyle wooden pop monsters appear starting early real horrors cant fight learn moves strikes try get away however way mean funhouse pop monsters stop showing even got used quite likely get startle one springs front youre distracted fleeing lurking abomination,0.12,0.04,0.42,0.25,0.17
25,26,Spooky's Jump Scare Mansion,great game kidswhen childerent play game learn true important things like ghost shouldent trustedand generator make things bright importantly teaches math roomsi highly sugest childeren,0.38,0.0,0.25,0.25,0.12
26,27,Spooky's Jump Scare Mansion,early access reviewan interesting quirky experience almost entire game involves going one room next short straighforward longer complex seconds long occasionally youll chased monsters despite coming many variations almost universally require simply go rooms fast possible cease pursuit moments require solving puzzles obtaining keys proceed giving player little reason explore unless forced characteristics game feels like long chase sequence rooms overcome game get repetitive despite short game clocking around hours completion fortunately save spots every later rooms allows player take break necessary difficultywise hard almost monsters avoided little hassle entirely possible youll miss several depending efficient going rooms however game leaves little room error enemies tend deal high damage even onehit kill manage get close enough depends well manage keep goal sprinting reaching next door regards atmosphere blend humorcuteness horror verified looking screenshots humor consists mainly cutesy characters dialogue peppered throughout gameplay become increasingly rarer horror portion involves surprisingly disturbing imagery sounds monsters chase didnt find detracted occasional humor believe game successful atmosphere opinion highest point game seeing monsters environments dialogue come nextall youre fan horror games id say give least try different charm believe adds overall experience makes quite unique,0.09,0.11,0.18,0.14,0.48
27,28,Spooky's Jump Scare Mansion,starts rather harmless cute quickly takes turn dark disturbing without faults ending sort let doesnt really escalate well couldthat said means check game especially freeand watch skeletonstheyll get,0.09,0.0,0.45,0.27,0.18
28,29,Spooky's Jump Scare Mansion,good need much minimum run fps got room got tired glitching loading system game laggy chopping sounds without pretty decent pc,0.33,0.0,0.17,0.0,0.5
